id,question
31337,"句子“他去东边的车站。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 概数表示法2：用“左右、前后”表示概数
B. 指示代词：这儿、那儿、这里、那里
C. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
D. 状语：副词、形容词作状语;表示时间、处所的词语作状语
E. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
"
31338,"句子“商场南边有一家银行。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 状语：副词、形容词作状语;表示时间、处所的词语作状语
B. 指示代词：这儿、那儿、这里、那里
C. 概数表示法2：用“左右、前后”表示概数
D. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
E. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
"
31339,"句子“书架上边有很多书。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 指示代词：这儿、那儿、这里、那里
B. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
C. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
D. 概数表示法2：用“左右、前后”表示概数
E. 状语：副词、形容词作状语;表示时间、处所的词语作状语
"
31340,"句子“她的车票在钱包里边。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 状语：副词、形容词作状语;表示时间、处所的词语作状语
B. 概数表示法2：用“左右、前后”表示概数
C. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
D. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
E. 指示代词：这儿、那儿、这里、那里
"
31341,"句子“他在车站外边等我。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 状语：副词、形容词作状语;表示时间、处所的词语作状语
B. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
C. 概数表示法2：用“左右、前后”表示概数
D. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
E. 指示代词：这儿、那儿、这里、那里
"
31342,"句子“我去前边的商店。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
B. 概数表示法2：用“左右、前后”表示概数
C. 状语：副词、形容词作状语;表示时间、处所的词语作状语
D. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
E. 指示代词：这儿、那儿、这里、那里
"
31343,"句子“银行在邮局的后边。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 指示代词：这儿、那儿、这里、那里
B. 状语：副词、形容词作状语;表示时间、处所的词语作状语
C. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
D. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
E. 概数表示法2：用“左右、前后”表示概数
"
31344,"句子“商场在邮局的北边。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 状语：副词、形容词作状语;表示时间、处所的词语作状语
B. 指示代词：这儿、那儿、这里、那里
C. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
D. 概数表示法2：用“左右、前后”表示概数
E. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
"
31345,"句子“我不会说中文。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：可能
B. 能愿动词：会
C. 能愿动词：能
D. 能愿动词：可以
E. 能愿动词：要
"
31346,"句子“我男朋友会打篮球。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：会
C. 能愿动词：能
D. 能愿动词：可以
E. 能愿动词：可能
"
31347,"句子“她会参加明天的晚会吗?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：可以
C. 能愿动词：能
D. 能愿动词：可能
E. 能愿动词：会
"
31348,"句子“你会开车吗?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：能
B. 能愿动词：可以
C. 能愿动词：会
D. 能愿动词：可能
E. 能愿动词：要
"
31349,"句子“他会打篮球，不会游泳。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：能
C. 能愿动词：会
D. 能愿动词：可能
E. 能愿动词：可以
"
31350,"句子“这孩子会走路了。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：可能
B. 能愿动词：能
C. 能愿动词：要
D. 能愿动词：可以
E. 能愿动词：会
"
31351,"句子“奶奶不会买机票。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：可以
B. 能愿动词：会
C. 能愿动词：能
D. 能愿动词：可能
E. 能愿动词：要
"
31352,"句子“你会不会做面包?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：可以
B. 能愿动词：要
C. 能愿动词：会
D. 能愿动词：可能
E. 能愿动词：能
"
31353,"句子“星期天他不会上班。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：可以
B. 能愿动词：可能
C. 能愿动词：要
D. 能愿动词：会
E. 能愿动词：能
"
31354,"句子“明天你能来吗？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：能
B. 能愿动词：会
C. 能愿动词：可以
D. 能愿动词：要
E. 能愿动词：可能
"
31355,"句子“他的病好了，现在能下床了。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：可以
B. 能愿动词：要
C. 能愿动词：会
D. 能愿动词：可能
E. 能愿动词：能
"
31356,"句子“那个教室能坐个人。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：能
B. 能愿动词：可以
C. 能愿动词：可能
D. 能愿动词：要
E. 能愿动词：会
"
31357,"句子“小王身体好了，能来上课了。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：能
B. 能愿动词：可能
C. 能愿动词：会
D. 能愿动词：可以
E. 能愿动词：要
"
31358,"句子“作业还没做，我不能回家。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：能
B. 能愿动词：要
C. 能愿动词：会
D. 能愿动词：可能
E. 能愿动词：可以
"
31359,"句子“星期天你能不能来学校?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：能
B. 能愿动词：可以
C. 能愿动词：会
D. 能愿动词：要
E. 能愿动词：可能
"
31360,"句子“上班时间不能请假。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：能
B. 能愿动词：可以
C. 能愿动词：会
D. 能愿动词：可能
E. 能愿动词：要
"
31361,"句子“我不会唱歌，你能教我吗?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：可以
C. 能愿动词：可能
D. 能愿动词：会
E. 能愿动词：能
"
31362,"句子“医生，我能不能吃这种药?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：能
C. 能愿动词：可以
D. 能愿动词：会
E. 能愿动词：可能
"
31363,"句子“我想学中文。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：会
B. 能愿动词：可以
C. 能愿动词：要
D. 能愿动词：愿意
E. 能愿动词：想
"
31364,"句子“我不想睡觉。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：会
B. 能愿动词：想
C. 能愿动词：要
D. 能愿动词：可以
E. 能愿动词：愿意
"
31365,"句子“你想去图书馆吗?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：想
C. 能愿动词：可以
D. 能愿动词：愿意
E. 能愿动词：会
"
31366,"句子“我想去看电影。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：愿意
B. 能愿动词：想
C. 能愿动词：可以
D. 能愿动词：会
E. 能愿动词：要
"
31367,"句子“我想在家吃早饭。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：愿意
B. 能愿动词：会
C. 能愿动词：要
D. 能愿动词：可以
E. 能愿动词：想
"
31368,"句子“她不想喝牛奶。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：会
B. 能愿动词：愿意
C. 能愿动词：可以
D. 能愿动词：要
E. 能愿动词：想
"
31369,"句子“他不想去中国。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：想
B. 能愿动词：可以
C. 能愿动词：会
D. 能愿动词：愿意
E. 能愿动词：要
"
31370,"句子“你明天想去商场吗?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：可以
B. 能愿动词：愿意
C. 能愿动词：要
D. 能愿动词：会
E. 能愿动词：想
"
31371,"句子“你想不想吃米饭?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：想
B. 能愿动词：可以
C. 能愿动词：要
D. 能愿动词：愿意
E. 能愿动词：会
"
31372,"句子“他要去书店。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：想
B. 能愿动词：需
C. 能愿动词：愿意
D. 能愿动词：需要
E. 能愿动词：要
"
31373,"句子“他要学唱歌。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：愿意
B. 能愿动词：要
C. 能愿动词：想
D. 能愿动词：需
E. 能愿动词：需要
"
31374,"句子“您要买手机吗?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：愿意
B. 能愿动词：要
C. 能愿动词：需
D. 能愿动词：需要
E. 能愿动词：想
"
31375,"句子“我们要认真学习。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：需要
B. 能愿动词：想
C. 能愿动词：要
D. 能愿动词：愿意
E. 能愿动词：需
"
31376,"句子“她要去上海。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：愿意
B. 能愿动词：需要
C. 能愿动词：要
D. 能愿动词：想
E. 能愿动词：需
"
31377,"句子“我要去看电影。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：需
B. 能愿动词：愿意
C. 能愿动词：想
D. 能愿动词：要
E. 能愿动词：需要
"
31378,"句子“他要学中文。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：想
C. 能愿动词：需要
D. 能愿动词：愿意
E. 能愿动词：需
"
31379,"句子“小姐，您要喝茶吗?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：愿意
B. 能愿动词：需要
C. 能愿动词：需
D. 能愿动词：想
E. 能愿动词：要
"
31380,"句子“你要不要休息一下儿?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 能愿动词：要
B. 能愿动词：需要
C. 能愿动词：想
D. 能愿动词：愿意
E. 能愿动词：需
"
31381,"句子“他多大？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多少
B. 疑问代词：怎样
C. 疑问代词：怎么样
D. 疑问代词：多
E. 疑问代词：几
"
31382,"句子“新开的商场有多远？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多
B. 疑问代词：怎样
C. 疑问代词：怎么样
D. 疑问代词：多少
E. 疑问代词：几
"
31383,"句子“你的书包有多重？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么样
B. 疑问代词：多
C. 疑问代词：几
D. 疑问代词：怎样
E. 疑问代词：多少
"
31384,"句子“前边的路有多长?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多少
B. 疑问代词：怎么样
C. 疑问代词：怎样
D. 疑问代词：多
E. 疑问代词：几
"
31385,"句子“你多重?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：几
B. 疑问代词：多
C. 疑问代词：多少
D. 疑问代词：怎样
E. 疑问代词：怎么样
"
31386,"句子“那个孩子多高?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：怎么样
C. 疑问代词：几
D. 疑问代词：多
E. 疑问代词：多少
"
31387,"句子“你的孩子多大了?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：多少
C. 疑问代词：多
D. 疑问代词：几
E. 疑问代词：怎么样
"
31388,"句子“这个房间有多大?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：怎么样
C. 疑问代词：多少
D. 疑问代词：多
E. 疑问代词：几
"
31389,"句子“你家有多远?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：多
C. 疑问代词：多少
D. 疑问代词：几
E. 疑问代词：怎么样
"
31390,"句子“你们班有多少个学生？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多久
B. 疑问代词：多少
C. 疑问代词：怎么样
D. 疑问代词：几
E. 疑问代词：多
"
31391,"句子“这本书多少钱？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：几
B. 疑问代词：多少
C. 疑问代词：多久
D. 疑问代词：多
E. 疑问代词：怎么样
"
31392,"句子“你考了多少分？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多少
B. 疑问代词：几
C. 疑问代词：多
D. 疑问代词：多久
E. 疑问代词：怎么样
"
31393,"句子“医院有多少病人？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么样
B. 疑问代词：多少
C. 疑问代词：多
D. 疑问代词：几
E. 疑问代词：多久
"
31394,"句子“你买了多少张门票？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么样
B. 疑问代词：多
C. 疑问代词：多少
D. 疑问代词：几
E. 疑问代词：多久
"
31395,"句子“这本书有多少页？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多久
B. 疑问代词：几
C. 疑问代词：多
D. 疑问代词：怎么样
E. 疑问代词：多少
"
31396,"句子“你读了多少本书？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多少
B. 疑问代词：多久
C. 疑问代词：怎么样
D. 疑问代词：几
E. 疑问代词：多
"
31397,"句子“你要多少(斤)？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多少
B. 疑问代词：多
C. 疑问代词：怎么样
D. 疑问代词：多久
E. 疑问代词：几
"
31398,"句子“这些水果多少钱？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：几
B. 疑问代词：怎么样
C. 疑问代词：多少
D. 疑问代词：多久
E. 疑问代词：多
"
31399,"句子“现在几点？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：几
C. 疑问代词：哪些
D. 疑问代词：怎么样
E. 疑问代词：多少
"
31400,"句子“你有几本中文课本？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：几
B. 疑问代词：多少
C. 疑问代词：怎么样
D. 疑问代词：哪些
E. 疑问代词：怎样
"
31401,"句子“你们几个人去？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪些
B. 疑问代词：怎么样
C. 疑问代词：多少
D. 疑问代词：怎样
E. 疑问代词：几
"
31402,"句子“你家有几口人？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么样
B. 疑问代词：几
C. 疑问代词：多少
D. 疑问代词：哪些
E. 疑问代词：怎样
"
31403,"句子“你买了几张车票？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪些
B. 疑问代词：怎么样
C. 疑问代词：几
D. 疑问代词：多少
E. 疑问代词：怎样
"
31404,"句子“你看了几个电影？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：哪些
C. 疑问代词：几
D. 疑问代词：多少
E. 疑问代词：怎么样
"
31405,"句子“你学了几个汉字？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪些
B. 疑问代词：几
C. 疑问代词：怎么样
D. 疑问代词：怎样
E. 疑问代词：多少
"
31406,"句子“外边有几个学生？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：哪些
C. 疑问代词：多少
D. 疑问代词：几
E. 疑问代词：怎么样
"
31407,"句子“你住几楼？”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：多少
B. 疑问代词：几
C. 疑问代词：哪些
D. 疑问代词：怎么样
E. 疑问代词：怎样
"
31408,"句子“你的生日是哪天?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪
B. 疑问代词：何
C. 疑问代词：怎么
D. 疑问代词：哪些
E. 疑问代词：哪儿、哪里
"
31409,"句子“请问，您是哪国人?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪儿、哪里
B. 疑问代词：哪些
C. 疑问代词：哪
D. 疑问代词：怎么
E. 疑问代词：何
"
31410,"句子“你在哪个大学学中文?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：何
B. 疑问代词：哪儿、哪里
C. 疑问代词：怎么
D. 疑问代词：哪些
E. 疑问代词：哪
"
31411,"句子“哪一本书好看?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：何
B. 疑问代词：哪儿、哪里
C. 疑问代词：哪
D. 疑问代词：怎么
E. 疑问代词：哪些
"
31412,"句子“这个周末哪个同学去北京?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪些
B. 疑问代词：哪
C. 疑问代词：哪儿、哪里
D. 疑问代词：怎么
E. 疑问代词：何
"
31413,"句子“你常常在哪个商店买东西?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：何
B. 疑问代词：哪儿、哪里
C. 疑问代词：怎么
D. 疑问代词：哪些
E. 疑问代词：哪
"
31414,"句子“你的衣服是哪一件?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么
B. 疑问代词：哪
C. 疑问代词：哪些
D. 疑问代词：何
E. 疑问代词：哪儿、哪里
"
31415,"句子“您要见哪个学生?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：何
B. 疑问代词：哪儿、哪里
C. 疑问代词：哪些
D. 疑问代词：怎么
E. 疑问代词：哪
"
31416,"句子“你喜欢哪个电影?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪儿、哪里
B. 疑问代词：哪
C. 疑问代词：怎么
D. 疑问代词：何
E. 疑问代词：哪些
"
31417,"句子“你们去哪儿?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪儿、哪里
B. 疑问代词：哪些
C. 疑问代词：谁
D. 疑问代词：怎样
E. 疑问代词：哪
"
31418,"句子“你儿子在哪里上大学?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：哪
C. 疑问代词：谁
D. 疑问代词：哪儿、哪里
E. 疑问代词：哪些
"
31419,"句子“请问，路车站在哪里?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：哪
C. 疑问代词：哪儿、哪里
D. 疑问代词：哪些
E. 疑问代词：谁
"
31420,"句子“他不在教室，他去哪儿/哪里了?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：谁
B. 疑问代词：哪些
C. 疑问代词：哪
D. 疑问代词：哪儿、哪里
E. 疑问代词：怎样
"
31421,"句子“周末我们去哪儿/哪里玩儿?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：谁
B. 疑问代词：哪些
C. 疑问代词：哪儿、哪里
D. 疑问代词：怎样
E. 疑问代词：哪
"
31422,"句子“新开的电影院在哪儿/哪里?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪些
B. 疑问代词：哪儿、哪里
C. 疑问代词：哪
D. 疑问代词：谁
E. 疑问代词：怎样
"
31423,"句子“机票放哪儿/哪里了?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：哪
C. 疑问代词：哪些
D. 疑问代词：谁
E. 疑问代词：哪儿、哪里
"
31424,"句子“请问，车站在哪儿/哪里?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪
B. 疑问代词：怎样
C. 疑问代词：谁
D. 疑问代词：哪儿、哪里
E. 疑问代词：哪些
"
31425,"句子“哪儿/哪里有医院?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：谁
B. 疑问代词：哪
C. 疑问代词：哪些
D. 疑问代词：哪儿、哪里
E. 疑问代词：怎样
"
31426,"句子“你们班有哪些国家的学生?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：怎么样
C. 疑问代词：哪
D. 疑问代词：谁
E. 疑问代词：哪些
"
31427,"句子“你家里有哪些人?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪些
B. 疑问代词：怎么样
C. 疑问代词：哪
D. 疑问代词：怎样
E. 疑问代词：谁
"
31428,"句子“你准备了哪些东西?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么样
B. 疑问代词：哪些
C. 疑问代词：谁
D. 疑问代词：哪
E. 疑问代词：怎样
"
31429,"句子“你昨天买了哪些书?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：谁
B. 疑问代词：哪些
C. 疑问代词：怎样
D. 疑问代词：怎么样
E. 疑问代词：哪
"
31430,"句子“他周末去了哪些地方?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪
B. 疑问代词：怎么样
C. 疑问代词：哪些
D. 疑问代词：怎样
E. 疑问代词：谁
"
31431,"句子“你看过哪些电影?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：怎么样
C. 疑问代词：哪些
D. 疑问代词：哪
E. 疑问代词：谁
"
31432,"句子“学校里有哪些教学楼?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎样
B. 疑问代词：怎么样
C. 疑问代词：哪
D. 疑问代词：谁
E. 疑问代词：哪些
"
31433,"句子“南京有哪些大商场?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪
B. 疑问代词：哪些
C. 疑问代词：谁
D. 疑问代词：怎么样
E. 疑问代词：怎样
"
31434,"句子“哪些是你的书?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：哪些
B. 疑问代词：怎样
C. 疑问代词：谁
D. 疑问代词：哪
E. 疑问代词：怎么样
"
31435,"句子“你买什么?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么
B. 疑问代词：什么
C. 疑问代词：何
D. 疑问代词：怎样
E. 疑问代词：怎么样
"
31436,"句子“什么最重要?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：什么
B. 疑问代词：怎么样
C. 疑问代词：何
D. 疑问代词：怎么
E. 疑问代词：怎样
"
31437,"句子“你在看什么书?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么样
B. 疑问代词：何
C. 疑问代词：怎么
D. 疑问代词：什么
E. 疑问代词：怎样
"
31438,"句子“你什么时候去学校?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么
B. 疑问代词：何
C. 疑问代词：怎么样
D. 疑问代词：怎样
E. 疑问代词：什么
"
31439,"句子“她在电话里说了什么?”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 疑问代词：怎么
B. 疑问代词：怎么样
C. 疑问代词：怎样
D. 疑问代词：什么
E. 疑问代词：何
"
